Model 1 (k=1000),Model 2 (k=50000),Model 3 (k=100000),Model 4 (k=500000),Model 5 (k=1000000)
942.0,46246.0,91711.0,460980.0,920335.0
916.0,46067.0,92171.0,459738.0,920097.0
904.0,45897.0,92145.0,459869.0,919473.0
955.0,45700.0,92739.0,459386.0,919604.0
936.0,46157.0,91633.0,461001.0,920228.0
840.0,45934.0,91589.0,459489.0,920153.0
933.0,45791.0,92088.0,459891.0,919137.0
904.0,45609.0,91970.0,459831.0,919156.0
918.0,46133.0,91882.0,459568.0,918358.0
927.0,46109.0,92129.0,458562.0,916690.0
943.0,45642.0,91786.0,457859.0,916340.0
892.0,45960.0,91955.0,460296.0,919006.0
908.0,46049.0,91963.0,458069.0,917544.0
975.0,45951.0,91584.0,457889.0,917456.0
945.0,45757.0,91395.0,458549.0,914460.0
855.0,46414.0,91424.0,457958.0,914155.0
929.0,45844.0,91405.0,458579.0,915418.0
953.0,45625.0,92085.0,457441.0,914993.0
885.0,45821.0,91391.0,457986.0,914444.0
933.0,45766.0,91040.0,457075.0,913572.0
901.0,45915.0,91376.0,456478.0,912655.0
940.0,45767.0,91263.0,455926.0,912240.0
911.0,45681.0,91169.0,456907.0,912223.0
931.0,45602.0,91471.0,455452.0,911512.0
883.0,45842.0,90573.0,454294.0,910816.0
891.0,45630.0,91551.0,454270.0,908883.0
944.0,45619.0,90950.0,454050.0,908512.0
893.0,45315.0,90717.0,455032.0,907773.0
893.0,45249.0,90495.0,453951.0,907702.0
887.0,45723.0,90603.0,454639.0,907375.0
892.0,45444.0,90480.0,453170.0,906625.0
912.0,45419.0,89902.0,451950.0,905470.0
866.0,45457.0,90493.0,452135.0,905284.0
919.0,45164.0,90390.0,452111.0,904741.0
876.0,45301.0,90650.0,451973.0,901661.0
924.0,45318.0,90430.0,451384.0,904104.0
970.0,45353.0,90104.0,450529.0,903961.0
894.0,45494.0,90235.0,449218.0,900431.0
899.0,45320.0,89550.0,449525.0,900686.0
954.0,44821.0,90051.0,448863.0,900161.0
874.0,44731.0,89858.0,449108.0,899080.0
871.0,44889.0,89680.0,449530.0,898201.0
859.0,44343.0,89419.0,449279.0,896467.0
892.0,44911.0,89611.0,447381.0,895029.0
926.0,44780.0,89083.0,446883.0,894688.0
841.0,44770.0,89751.0,447437.0,893133.0
924.0,44514.0,89180.0,447303.0,892000.0
902.0,44332.0,89039.0,445469.0,890716.0
904.0,44544.0,88908.0,446039.0,889672.0
886.0,44466.0,89105.0,445158.0,890611.0
903.0,44608.0,88888.0,443987.0,889134.0
874.0,44639.0,88545.0,443637.0,887620.0
877.0,44245.0,89052.0,442860.0,885236.0
951.0,44073.0,88570.0,442393.0,885524.0
896.0,44311.0,88420.0,441325.0,882828.0
873.0,44252.0,87769.0,440310.0,881018.0
843.0,43822.0,88236.0,439620.0,881182.0
863.0,44294.0,87429.0,440453.0,879850.0
899.0,43926.0,87977.0,437188.0,879041.0
889.0,44147.0,87445.0,438050.0,877504.0
875.0,43795.0,87821.0,437007.0,874197.0
838.0,43538.0,87269.0,436086.0,873478.0
924.0,43657.0,87004.0,435379.0,871420.0
892.0,43311.0,87229.0,434957.0,868906.0
861.0,43485.0,86594.0,432505.0,868248.0
897.0,43472.0,86573.0,432762.0,866167.0
873.0,43086.0,85645.0,432005.0,864346.0
861.0,42675.0,85709.0,430647.0,862730.0
825.0,43376.0,86179.0,430916.0,860440.0
871.0,42806.0,85508.0,428945.0,859122.0
875.0,42660.0,85891.0,427871.0,855589.0
818.0,42589.0,85723.0,428153.0,854022.0
785.0,42417.0,84947.0,425411.0,852483.0
870.0,42413.0,85016.0,425532.0,851897.0
911.0,42438.0,84816.0,424905.0,847833.0
844.0,42032.0,84608.0,421978.0,846164.0
837.0,42000.0,84352.0,421774.0,845588.0
868.0,42266.0,83862.0,420774.0,839889.0
829.0,41974.0,84175.0,420542.0,839595.0
823.0,41652.0,83729.0,417322.0,836943.0
839.0,42156.0,83345.0,416935.0,833848.0
797.0,41673.0,83335.0,415869.0,830440.0
869.0,41687.0,83041.0,413803.0,827995.0
839.0,41395.0,82493.0,413351.0,825254.0
865.0,41360.0,82210.0,411795.0,821845.0
812.0,40692.0,81730.0,409762.0,821220.0
808.0,40916.0,81388.0,408184.0,817129.0
847.0,40916.0,81348.0,408052.0,813218.0
793.0,40516.0,80640.0,404779.0,810581.0
813.0,40553.0,80667.0,402957.0,807235.0
790.0,40414.0,80054.0,401694.0,803242.0
834.0,40175.0,79725.0,400032.0,800703.0
805.0,40002.0,79502.0,398790.0,798044.0
840.0,39490.0,78932.0,397486.0,794727.0
799.0,39418.0,78708.0,395441.0,788701.0
809.0,39417.0,78795.0,391982.0,785615.0
797.0,38909.0,78219.0,389837.0,782483.0
790.0,38728.0,77447.0,388353.0,777670.0
752.0,38806.0,77729.0,387447.0,774167.0
776.0,38274.0,76902.0,385402.0,768459.0
728.0,38443.0,76807.0,383190.0,766873.0
770.0,38148.0,75912.0,381027.0,761603.0
780.0,37584.0,75440.0,379169.0,757509.0
676.0,37622.0,75859.0,376005.0,751010.0
772.0,37160.0,74763.0,372711.0,746811.0
740.0,36809.0,74468.0,370590.0,743178.0
736.0,36671.0,73528.0,368653.0,737727.0
739.0,36686.0,73186.0,367430.0,732664.0
717.0,36407.0,72525.0,363460.0,725909.0
715.0,36100.0,71818.0,361160.0,721704.0
701.0,35887.0,71453.0,358371.0,716845.0
719.0,35441.0,71252.0,354760.0,709438.0
702.0,35118.0,70304.0,353544.0,704203.0
709.0,35147.0,70089.0,349782.0,699243.0
638.0,34762.0,69530.0,345840.0,694030.0
674.0,34404.0,68283.0,343193.0,687223.0
640.0,34360.0,68448.0,340692.0,681446.0
670.0,33897.0,67083.0,338993.0,675663.0
660.0,33171.0,67053.0,334154.0,666947.0
646.0,33085.0,66637.0,330734.0,661634.0
684.0,32995.0,65298.0,327638.0,656729.0
654.0,32597.0,64805.0,324537.0,650613.0
649.0,32441.0,64177.0,320694.0,642054.0
637.0,31597.0,63597.0,317791.0,634418.0
607.0,31145.0,63246.0,313639.0,628883.0
616.0,30892.0,62545.0,311081.0,621069.0
601.0,30652.0,61571.0,307028.0,614391.0
613.0,30422.0,60708.0,302770.0,605835.0
575.0,30136.0,60076.0,299646.0,599187.0
643.0,29602.0,59084.0,295112.0,592682.0
572.0,29325.0,58707.0,292702.0,584187.0
558.0,28850.0,57744.0,288471.0,576462.0
544.0,28462.0,56839.0,284283.0,568962.0
555.0,28117.0,56661.0,281687.0,562896.0
492.0,27700.0,55063.0,277092.0,554295.0
549.0,27176.0,54925.0,273696.0,547084.0
558.0,26845.0,53875.0,268205.0,538716.0
561.0,26588.0,53490.0,265612.0,531302.0
523.0,26168.0,52648.0,262318.0,523901.0
501.0,25870.0,51906.0,258076.0,516944.0
510.0,25393.0,50559.0,254352.0,509192.0
495.0,24995.0,50344.0,250395.0,500604.0
522.0,24900.0,49476.0,246525.0,492258.0
497.0,24437.0,48910.0,242870.0,484853.0
438.0,23914.0,47829.0,239418.0,478767.0
455.0,23591.0,47291.0,235410.0,471382.0
452.0,23346.0,46343.0,231866.0,463287.0
457.0,22640.0,45707.0,228183.0,457650.0
451.0,22959.0,44969.0,225093.0,448757.0
458.0,22240.0,44376.0,221265.0,443385.0
455.0,21891.0,43749.0,218267.0,436216.0
428.0,21683.0,42983.0,214561.0,429072.0
456.0,21248.0,42316.0,211394.0,423384.0
385.0,20739.0,41415.0,208922.0,417332.0
403.0,20397.0,41296.0,205296.0,409681.0
380.0,20185.0,40327.0,202467.0,404914.0
388.0,19806.0,40138.0,198762.0,399442.0
388.0,19592.0,39228.0,196653.0,393540.0
355.0,19591.0,38600.0,193793.0,388147.0
399.0,19106.0,38625.0,191973.0,383555.0
346.0,19175.0,37863.0,189662.0,378444.0
346.0,18703.0,37422.0,186932.0,375021.0
417.0,18398.0,37171.0,185722.0,369858.0
393.0,18248.0,36788.0,182916.0,366023.0
364.0,18083.0,36093.0,181340.0,362171.0
362.0,17984.0,35617.0,178790.0,358534.0
373.0,17922.0,35551.0,177921.0,355356.0
332.0,17840.0,34830.0,175586.0,352902.0
335.0,17401.0,35260.0,174851.0,350006.0
333.0,17253.0,34697.0,173801.0,347590.0
339.0,17506.0,34534.0,172781.0,346570.0
370.0,17335.0,34418.0,172550.0,344176.0
368.0,17038.0,34108.0,171848.0,344370.0
369.0,17066.0,34149.0,171979.0,342230.0
335.0,16987.0,34130.0,171113.0,341998.0
326.0,17049.0,34046.0,171155.0,341611.0
383.0,17035.0,34285.0,170682.0,341907.0
354.0,17305.0,34472.0,171266.0,341899.0
338.0,17041.0,34450.0,172125.0,344064.0
349.0,17092.0,34371.0,173312.0,344540.0
355.0,17397.0,34685.0,173485.0,347137.0
280.0,17443.0,34879.0,175169.0,348065.0
372.0,17885.0,35234.0,176144.0,350623.0
378.0,17597.0,35395.0,177999.0,354899.0
383.0,18195.0,35660.0,178726.0,358019.0
380.0,18171.0,36017.0,181269.0,362099.0
391.0,18572.0,36231.0,182874.0,366380.0
371.0,18335.0,37099.0,186211.0,370353.0
356.0,18860.0,37768.0,188933.0,376865.0
357.0,19058.0,38324.0,192004.0,382276.0
356.0,19282.0,38848.0,195112.0,388805.0
365.0,19731.0,39573.0,198653.0,396336.0
364.0,20094.0,40534.0,202711.0,401697.0
423.0,20527.0,41147.0,205714.0,411113.0
413.0,20884.0,41908.0,209959.0,419426.0
451.0,21574.0,42940.0,214613.0,430400.0
454.0,21995.0,43616.0,219800.0,438498.0
442.0,22249.0,44938.0,224445.0,449239.0
490.0,22785.0,46133.0,229427.0,457974.0
462.0,23562.0,46960.0,235100.0,470391.0
476.0,24003.0,47969.0,240693.0,481710.0
514.0,24611.0,49466.0,246193.0,491448.0
492.0,25247.0,50448.0,252358.0,503414.0
484.0,25931.0,51777.0,258750.0,517607.0
520.0,26285.0,52752.0,265814.0,528563.0
525.0,27024.0,54410.0,271986.0,541903.0
538.0,27905.0,55306.0,277292.0,553038.0
550.0,28677.0,56728.0,284172.0,566458.0
579.0,29201.0,58204.0,290261.0,579911.0
620.0,29746.0,59430.0,297524.0,592774.0
634.0,30131.0,60123.0,303493.0,606802.0
591.0,31046.0,62286.0,310013.0,618852.0
683.0,31450.0,63151.0,315424.0,631891.0
643.0,32134.0,64264.0,320904.0,642998.0
683.0,32603.0,65531.0,327778.0,654886.0
676.0,33396.0,66504.0,334335.0,667709.0
649.0,33902.0,67312.0,339427.0,678190.0
632.0,34434.0,68555.0,345107.0,689806.0
684.0,34933.0,69617.0,350346.0,699888.0
694.0,35520.0,70658.0,355490.0,711148.0
720.0,35931.0,71770.0,358504.0,721166.0
734.0,36574.0,72811.0,364185.0,729175.0
720.0,36804.0,73968.0,368540.0,738149.0
725.0,37348.0,74881.0,373018.0,744605.0
749.0,37888.0,76101.0,376278.0,753914.0
801.0,38525.0,75913.0,380956.0,761818.0
