Model 1 (k=1000),Model 2 (k=50000),Model 3 (k=100000),Model 4 (k=500000),Model 5 (k=1000000)
877.0,45698.0,91751.0,457024.0,913215.0
952.0,45321.0,91297.0,457924.0,915107.0
897.0,45596.0,91413.0,457140.0,915785.0
912.0,45991.0,91003.0,457520.0,915533.0
900.0,45721.0,91553.0,456677.0,915429.0
871.0,45340.0,91261.0,457421.0,915333.0
866.0,45618.0,92050.0,458832.0,915359.0
936.0,46119.0,92248.0,459055.0,916748.0
934.0,46043.0,91951.0,458429.0,918295.0
949.0,45727.0,91729.0,458964.0,916982.0
963.0,46199.0,91833.0,459138.0,917730.0
934.0,45916.0,91811.0,459742.0,918956.0
970.0,45691.0,91897.0,459564.0,917627.0
946.0,46048.0,92219.0,459842.0,918136.0
926.0,45949.0,92205.0,460024.0,918935.0
921.0,46193.0,92156.0,459142.0,921391.0
978.0,45862.0,91712.0,459882.0,918696.0
916.0,46037.0,91720.0,459522.0,919937.0
905.0,45823.0,92061.0,459023.0,920573.0
940.0,45968.0,92425.0,461002.0,922594.0
975.0,46430.0,91540.0,460988.0,920576.0
944.0,46136.0,91506.0,460297.0,923711.0
949.0,45823.0,91959.0,460518.0,920532.0
922.0,45766.0,92254.0,461916.0,921658.0
919.0,46327.0,92266.0,461859.0,921924.0
910.0,46066.0,92449.0,462155.0,922543.0
960.0,46010.0,92019.0,460701.0,922607.0
889.0,45890.0,92752.0,460386.0,920983.0
956.0,46215.0,92232.0,460999.0,922125.0
876.0,46061.0,92629.0,461834.0,921640.0
945.0,46248.0,92657.0,462040.0,922136.0
952.0,46133.0,92070.0,462134.0,924353.0
1027.0,46460.0,92251.0,460200.0,926110.0
913.0,45980.0,92361.0,459626.0,922910.0
861.0,46076.0,92335.0,461150.0,922264.0
890.0,46436.0,92022.0,462626.0,925321.0
886.0,46170.0,92613.0,462172.0,925191.0
951.0,46549.0,92581.0,462306.0,924744.0
923.0,46200.0,92457.0,461396.0,924592.0
926.0,46163.0,92966.0,461264.0,923059.0
